_id,frame_number,jenis_kendaraan,deteksi,date,hari,timestamp
666a752c18ab3c9b75c94d09,489,car,1,2024-06-13,Thursday,2024-06-13 11:24:42
666a752c18ab3c9b75c94d0a,489,car,1,2024-06-13,Thursday,2024-06-13 11:24:42
666a752c18ab3c9b75c94d0b,489,car,1,2024-06-13,Thursday,2024-06-13 11:24:42
666a752c18ab3c9b75c94d0c,489,car,1,2024-06-13,Thursday,2024-06-13 11:24:42
666a752c18ab3c9b75c94d0d,489,car,1,2024-06-13,Thursday,2024-06-13 11:24:42
666a752c18ab3c9b75c94d0e,489,car,1,2024-06-13,Thursday,2024-06-13 11:24:42
666a752c18ab3c9b75c94d0f,490,car,1,2024-06-13,Thursday,2024-06-13 11:24:42
666a752c18ab3c9b75c94d10,490,car,1,2024-06-13,Thursday,2024-06-13 11:24:42
666a752c18ab3c9b75c94d11,490,car,1,2024-06-13,Thursday,2024-06-13 11:24:42
666a752c18ab3c9b75c94d12,490,car,1,2024-06-13,Thursday,2024-06-13 11:24:42
666a752c18ab3c9b75c94d13,490,car,1,2024-06-13,Thursday,2024-06-13 11:24:42
666a752c18ab3c9b75c94d14,490,car,1,2024-06-13,Thursday,2024-06-13 11:24:42
666a752c18ab3c9b75c94d15,490,car,1,2024-06-13,Thursday,2024-06-13 11:24:42
666a752c18ab3c9b75c94d16,490,car,1,2024-06-13,Thursday,2024-06-13 11:24:42
666a752c18ab3c9b75c94d17,490,car,1,2024-06-13,Thursday,2024-06-13 11:24:42
666a752c18ab3c9b75c94d18,491,car,1,2024-06-13,Thursday,2024-06-13 11:24:43
